                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96115,                 1.6793,                 2.8118,                 1.2483,                0.82996,                0.71977,                0.84797,                0.65528,                 0.7773,                0.67516,                0.78844,                0.62708,                0.87516,                 1.3199,                 1.5083,                 1.2126,             0.00025614,             0.00025614,             0.00025614
                      2,                0.88063,                 1.2813,                 1.3139,                 1.1709,                0.74615,                0.83396,                0.84616,                0.64703,                0.77345,                0.74614,                0.78392,                0.61098,                0.94361,                 1.4703,                 1.2474,                 1.2216,             0.00048711,             0.00048711,             0.00048711
                      3,                0.84992,                 1.2329,                 1.1547,                 1.1529,                0.89926,                0.77235,                0.89029,                0.67536,                0.85134,                0.73755,                0.83543,                0.65222,                0.92933,                 1.4071,                 1.1299,                   1.24,              0.0006927,              0.0006927,              0.0006927
                      4,                0.83519,                 1.2385,                 1.1294,                 1.1442,                0.84712,                0.88697,                0.90223,                0.69945,                 0.8071,                 0.8486,                0.84476,                0.66431,                0.89958,                 1.3082,                 1.1066,                 1.1808,              0.0006548,              0.0006548,              0.0006548
                      5,                 0.7883,                 1.1708,                 0.9614,                 1.1173,                0.85445,                0.81536,                0.87482,                0.71142,                0.81741,                0.79172,                0.82867,                0.66732,                0.82856,                 1.3509,                 1.1753,                 1.1585,              0.0006548,              0.0006548,              0.0006548
                      6,                0.75135,                 1.1234,                0.88434,                   1.09,                0.89293,                0.88119,                0.92765,                 0.7589,                0.84867,                0.84928,                0.86474,                0.68885,                0.78059,                 1.2738,                0.79439,                 1.1297,             0.00061674,             0.00061674,             0.00061674
                      7,                0.69525,                 1.0654,                0.78961,                 1.0559,                0.87373,                0.89394,                0.92007,                0.76498,                0.85107,                0.84801,                0.85965,                0.71305,                0.71611,                 1.1929,                0.80686,                 1.0472,             0.00057867,             0.00057867,             0.00057867
                      8,                0.65772,                0.96562,                0.71931,                 1.0363,                0.87372,                0.90032,                0.91587,                0.75318,                0.84481,                0.86108,                0.86993,                0.72262,                0.73242,                 1.2374,                 0.8347,                 1.0769,             0.00054061,             0.00054061,             0.00054061
                      9,                0.63263,                 1.0342,                 0.6721,                 1.0183,                0.89272,                0.88323,                 0.9338,                0.76282,                 0.8681,                0.84315,                 0.8919,                0.71892,                0.74699,                 1.1253,                0.71274,                 1.0879,             0.00050254,             0.00050254,             0.00050254
                     10,                0.60723,                0.96726,                0.61499,                 1.0076,                0.85443,                0.87901,                0.92636,                  0.778,                0.81723,                0.83456,                0.86283,                0.71717,                0.72414,                 1.1653,                0.75958,                 1.0654,             0.00046448,             0.00046448,             0.00046448
                     11,                 0.5242,                0.83624,                0.40684,                0.97635,                0.96956,                0.90415,                0.94756,                0.80933,                0.91723,                0.85613,                0.87414,                0.74502,                0.68175,                 1.1423,                  0.625,                  1.058,             0.00042641,             0.00042641,             0.00042641
                     12,                0.50841,                0.81881,                0.38735,                0.96619,                 0.9707,                0.89189,                0.95197,                0.80955,                0.92694,                0.84958,                0.88021,                0.73643,                0.68562,                 1.1285,                0.63305,                 1.0395,             0.00038835,             0.00038835,             0.00038835
                     13,                0.47446,                0.77666,                0.34445,                0.94202,                0.94766,                0.89056,                0.94364,                0.80459,                0.89862,                0.86819,                0.87915,                0.74392,                0.66161,                 1.0905,                0.62628,                 1.0266,             0.00035028,             0.00035028,             0.00035028
                     14,                0.44941,                 0.7458,                0.31899,                0.92422,                 0.9854,                0.89577,                0.95675,                0.83193,                0.93613,                0.85189,                0.88875,                0.76127,                0.62169,                 1.1002,                0.59698,                0.99451,             0.00031221,             0.00031221,             0.00031221
                     15,                0.42129,                0.74014,                0.29624,                0.90692,                0.96811,                0.90677,                0.95648,                0.84135,                0.93054,                 0.8699,                0.89116,                0.75759,                0.59571,                 1.1004,                0.58825,                0.99182,             0.00027415,             0.00027415,             0.00027415
                     16,                0.40392,                0.72209,                0.28316,                0.90255,                 0.9623,                0.90237,                0.96381,                0.85128,                0.91907,                0.86707,                0.90376,                0.76215,                0.58098,                 1.1048,                0.54248,                0.98464,             0.00023608,             0.00023608,             0.00023608
                     17,                0.38376,                0.70905,                0.26644,                0.89061,                0.98316,                0.91284,                0.96602,                 0.8574,                0.93599,                0.86845,                0.89825,                0.77432,                0.57503,                  1.081,                0.51401,                0.98285,             0.00019802,             0.00019802,             0.00019802
                     18,                0.37303,                0.69164,                0.25143,                0.88312,                0.96326,                0.95546,                0.97544,                0.87086,                0.91545,                0.91109,                0.90601,                0.78196,                0.53394,                 1.0582,                0.43322,                0.95016,             0.00015995,             0.00015995,             0.00015995
                     19,                 0.3591,                0.65915,                0.23699,                0.88671,                0.97243,                0.92179,                0.96718,                0.86712,                0.92575,                0.87924,                0.90104,                0.77559,                0.54043,                 1.0824,                 0.4949,                0.95364,             0.00012189,             0.00012189,             0.00012189
                     20,                0.34436,                0.66278,                0.22454,                0.87661,                0.98171,                0.92542,                0.97508,                0.87422,                0.93439,                  0.881,                0.90245,                0.78443,                0.53132,                 1.0603,                0.45133,                0.95306,             8.3821e-05,             8.3821e-05,             8.3821e-05
